medium_None_1_330
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         1.09%      92.335ms        94.12%        7.985s     469.694ms            17  
                                            aten::addmm        58.25%        4.942s        60.74%        5.153s       8.705ms           592  
                                           aten::linear         0.13%      11.292ms        54.54%        4.627s      11.567ms           400  
                     aten::_native_multi_head_attention         0.20%      17.039ms        32.68%        2.772s      14.440ms           192  
                                               aten::mm        18.86%        1.600s        18.86%        1.600s       8.332ms           192  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         5.88%     498.617ms         5.88%     498.869ms      29.345ms            17  
                                             aten::gelu         4.03%     341.484ms         4.03%     341.484ms       1.779ms           192  
                                              aten::bmm         3.48%     294.827ms         3.48%     294.830ms     767.786us           384  
                                            aten::copy_         2.62%     222.665ms         2.62%     222.665ms     284.011us           784  
                                         aten::_softmax         1.75%     148.877ms         1.75%     148.877ms     775.401us           192  
                      aten::_transform_bias_rescale_qkv         1.58%     133.815ms         1.65%     139.900ms     728.646us           192  
                                           aten::conv2d         0.00%     110.000us         0.70%      59.281ms       3.705ms            16  
                                      aten::convolution         0.00%     202.000us         0.70%      59.171ms       3.698ms            16  
                                     aten::_convolution         0.00%     245.000us         0.70%      58.969ms       3.686ms            16  
                               aten::mkldnn_convolution         0.69%      58.488ms         0.69%      58.724ms       3.670ms            16  
                                       aten::layer_norm         0.02%       1.664ms         0.58%      49.607ms     124.017us           400  
                                aten::native_layer_norm         0.54%      45.988ms         0.57%      47.943ms     119.858us           400  
                                              aten::add         0.46%      38.824ms         0.46%      38.824ms      97.060us           400  
                                       aten::contiguous         0.02%       1.668ms         0.19%      16.393ms      85.380us           192  
                                            aten::clone         0.01%       1.075ms         0.19%      16.024ms      83.458us           192  
                                             aten::view         0.08%       7.148ms         0.08%       7.148ms       1.838us          3888  
                                                aten::t         0.03%       2.454ms         0.08%       6.450ms       8.227us           784  
                                        aten::transpose         0.04%       3.404ms         0.06%       4.745ms       4.862us           976  
                                            aten::empty         0.06%       4.726ms         0.06%       4.726ms       2.861us          1652  
                                           aten::narrow         0.03%       2.287ms         0.05%       3.978ms       6.543us           608  
                                          aten::reshape         0.02%       1.292ms         0.04%       3.163ms       4.034us           784  
                                              aten::cat         0.03%       2.790ms         0.03%       2.960ms     185.000us            16  
                                       aten::as_strided         0.02%       1.948ms         0.02%       1.948ms       0.801us          2432  
                                            aten::slice         0.02%       1.695ms         0.02%       1.936ms       3.103us           624  
                                           aten::expand         0.02%       1.840ms         0.02%       1.901ms       3.127us           608  
                                       aten::empty_like         0.01%     779.000us         0.02%       1.835ms       9.557us           192  
                                          aten::permute         0.01%     803.000us         0.01%       1.028ms       4.942us           208  
                                     aten::_unsafe_view         0.01%     822.000us         0.01%     822.000us       4.281us           192  
                                         aten::randperm         0.00%     241.000us         0.01%     442.000us     221.000us             2  
                                          aten::dropout         0.00%     409.000us         0.00%     409.000us       0.691us           592  
                                           aten::select         0.00%     127.000us         0.00%     127.000us       7.938us            16  
                                             aten::set_         0.00%      97.000us         0.00%      97.000us       2.853us            34  
                                      aten::as_strided_         0.00%      90.000us         0.00%      90.000us       5.625us            16  
                                          aten::detach_         0.00%      64.000us         0.00%      87.000us       2.559us            34  
                                     aten::resolve_conj         0.00%      31.000us         0.00%      31.000us       0.013us          2337  
                                                detach_         0.00%      24.000us         0.00%      24.000us       0.706us            34  
                                          aten::resize_         0.00%      21.000us         0.00%      21.000us       1.167us            18  
                                          aten::random_         0.00%      16.000us         0.00%      16.000us      16.000us             1  
                                           aten::detach         0.00%       3.000us         0.00%       9.000us       9.000us             1  
                                    aten::scalar_tensor         0.00%       8.000us         0.00%       8.000us       8.000us             1  
                                                 detach         0.00%       6.000us         0.00%       6.000us       6.000us             1  
                                             aten::item         0.00%       3.000us         0.00%       5.000us       5.000us             1  
                              aten::_local_scalar_dense         0.00%       2.000us         0.00%       2.000us       2.000us             1  
                                       aten::lift_fresh         0.00%       1.000us         0.00%       1.000us       0.029us            34  
                                               aten::to         0.00%       0.000us         0.00%       0.000us       0.000us            35  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.484s
medium_None_4_330
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         1.17%     118.215ms        99.74%       10.084s     593.182ms            17  
                                            aten::addmm        62.74%        6.343s        63.64%        6.434s      10.868ms           592  
                                           aten::linear         0.15%      15.003ms        56.93%        5.756s      14.391ms           400  
                     aten::_native_multi_head_attention         0.28%      28.512ms        37.08%        3.749s      19.527ms           192  
                                               aten::mm        20.21%        2.044s        20.21%        2.044s      10.644ms           192  
                                              aten::bmm         4.99%     504.526ms         4.99%     504.556ms       1.314ms           384  
                                             aten::gelu         2.37%     239.524ms         2.37%     239.524ms       1.248ms           192  
                      aten::_transform_bias_rescale_qkv         2.12%     214.719ms         2.22%     224.160ms       1.167ms           192  
                                         aten::_softmax         2.02%     204.225ms         2.02%     204.225ms       1.064ms           192  
                                            aten::copy_         1.06%     107.649ms         1.06%     107.649ms     137.307us           784  
                                           aten::conv2d         0.00%     142.000us         0.83%      84.353ms       5.272ms            16  
                                      aten::convolution         0.00%     230.000us         0.83%      84.211ms       5.263ms            16  
                                     aten::_convolution         0.00%     255.000us         0.83%      83.981ms       5.249ms            16  
                               aten::mkldnn_convolution         0.82%      83.389ms         0.83%      83.726ms       5.233ms            16  
                                       aten::layer_norm         0.02%       2.380ms         0.71%      72.276ms     180.690us           400  
                                aten::native_layer_norm         0.64%      65.055ms         0.69%      69.896ms     174.740us           400  
                                              aten::add         0.58%      58.909ms         0.58%      58.909ms     147.273us           400  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         0.25%      25.539ms         0.26%      25.908ms       1.524ms            17  
                                       aten::contiguous         0.01%       1.284ms         0.25%      25.046ms     130.448us           192  
                                            aten::clone         0.01%       1.326ms         0.24%      24.483ms     127.516us           192  
                                             aten::view         0.12%      11.761ms         0.12%      11.761ms       3.025us          3888  
                                            aten::empty         0.10%      10.225ms         0.10%      10.225ms       6.189us          1652  
                                                aten::t         0.04%       3.645ms         0.09%       9.403ms      11.994us           784  
                                        aten::transpose         0.05%       5.172ms         0.07%       6.992ms       7.164us           976  
                                           aten::narrow         0.03%       2.612ms         0.05%       5.427ms       8.926us           608  
                                          aten::reshape         0.02%       2.038ms         0.05%       4.675ms       5.963us           784  
                                              aten::cat         0.04%       3.657ms         0.04%       3.909ms     244.312us            16  
                                       aten::empty_like         0.01%       1.149ms         0.03%       3.489ms      18.172us           192  
                                       aten::as_strided         0.03%       3.221ms         0.03%       3.221ms       1.324us          2432  
                                            aten::slice         0.03%       2.662ms         0.03%       3.105ms       4.976us           624  
                                           aten::expand         0.03%       2.536ms         0.03%       2.945ms       4.844us           608  
                                          aten::permute         0.01%       1.486ms         0.02%       1.983ms       9.534us           208  
                                     aten::_unsafe_view         0.01%       1.123ms         0.01%       1.123ms       5.849us           192  
                                          aten::dropout         0.01%     686.000us         0.01%     686.000us       1.159us           592  
                                         aten::randperm         0.00%     176.000us         0.00%     352.000us     176.000us             2  
                                           aten::select         0.00%     165.000us         0.00%     169.000us      10.562us            16  
                                             aten::set_         0.00%     132.000us         0.00%     132.000us       3.882us            34  
                                          aten::detach_         0.00%      92.000us         0.00%     123.000us       3.618us            34  
                                     aten::resolve_conj         0.00%     119.000us         0.00%     119.000us       0.051us          2337  
                                      aten::as_strided_         0.00%      93.000us         0.00%      93.000us       5.812us            16  
                                                detach_         0.00%      34.000us         0.00%      34.000us       1.000us            34  
                                          aten::resize_         0.00%      20.000us         0.00%      20.000us       1.111us            18  
                                           aten::detach         0.00%       7.000us         0.00%      18.000us      18.000us             1  
                                          aten::random_         0.00%      16.000us         0.00%      16.000us      16.000us             1  
                                    aten::scalar_tensor         0.00%      12.000us         0.00%      12.000us      12.000us             1  
                                                 detach         0.00%      11.000us         0.00%      11.000us      11.000us             1  
                                             aten::item         0.00%       4.000us         0.00%       6.000us       6.000us             1  
                                               aten::to         0.00%       3.000us         0.00%       3.000us       0.086us            35  
                              aten::_local_scalar_dense         0.00%       2.000us         0.00%       2.000us       2.000us             1  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                       aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us            34  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 10.110s
medium_x86_1_109
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         2.50%     201.686ms        99.62%        8.046s     473.299ms            17  
                     aten::_native_multi_head_attention         0.35%      28.349ms        47.39%        3.828s      19.937ms           192  
                                      quantized::linear        40.77%        3.293s        40.87%        3.301s       8.253ms           400  
                                               aten::mm        26.78%        2.163s        26.78%        2.163s      11.265ms           192  
                                            aten::addmm         9.04%     729.890ms         9.34%     754.144ms       3.928ms           192  
                                              aten::bmm         5.25%     423.729ms         5.25%     423.753ms       1.104ms           384  
                                             aten::gelu         2.87%     231.791ms         2.87%     231.791ms       1.207ms           192  
                                         aten::_softmax         2.60%     210.397ms         2.60%     210.397ms       1.096ms           192  
                      aten::_transform_bias_rescale_qkv         2.49%     201.066ms         2.60%     209.638ms       1.092ms           192  
                                  quantized::layer_norm         1.49%     120.220ms         1.52%     123.143ms     307.858us           400  
                                       aten::dequantize         1.38%     111.726ms         1.44%     116.642ms     177.808us           656  
                              aten::quantize_per_tensor         1.29%     104.210ms         1.32%     107.004ms     230.612us           464  
                                         quantized::add         0.89%      72.218ms         0.97%      78.613ms     196.532us           400  
                                      quantized::conv2d         0.54%      43.326ms         0.59%      47.975ms       2.998ms            16  
                                            aten::copy_         0.57%      45.898ms         0.57%      45.898ms     119.526us           384  
                                       aten::contiguous         0.01%       1.167ms         0.39%      31.375ms     150.841us           208  
                                            aten::clone         0.07%       5.479ms         0.38%      30.804ms     148.096us           208  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         0.38%      30.306ms         0.38%      30.708ms       1.806ms            17  
                                              aten::cat         0.04%       3.375ms         0.15%      11.808ms     369.000us            32  
                                            aten::empty         0.14%      11.459ms         0.14%      11.459ms       7.680us          1492  
                          aten::_empty_affine_quantized         0.12%       9.868ms         0.12%       9.868ms       8.010us          1232  
                                             aten::item         0.08%       6.350ms         0.10%       7.848ms       3.143us          2497  
                                           aten::narrow         0.04%       2.842ms         0.07%       5.294ms       9.191us           576  
                                          aten::resize_         0.05%       3.901ms         0.05%       3.901ms       9.704us           402  
                                                aten::t         0.01%       1.198ms         0.05%       3.889ms      10.128us           384  
                                        aten::transpose         0.03%       2.764ms         0.05%       3.795ms       6.589us           576  
                                             aten::view         0.04%       3.049ms         0.04%       3.049ms       1.323us          2304  
                                            aten::slice         0.03%       2.403ms         0.03%       2.820ms       4.764us           592  
                                       aten::empty_like         0.01%       1.118ms         0.03%       2.743ms      14.286us           192  
                                       aten::as_strided         0.03%       2.075ms         0.03%       2.075ms       1.297us          1600  
                                          aten::reshape         0.02%       1.229ms         0.02%       1.871ms       4.678us           400  
                                          aten::permute         0.02%       1.283ms         0.02%       1.774ms       8.529us           208  
                              aten::_local_scalar_dense         0.02%       1.600ms         0.02%       1.600ms       0.641us          2497  
                                     aten::_unsafe_view         0.01%       1.118ms         0.01%       1.118ms       5.823us           192  
                                           aten::expand         0.01%     875.000us         0.01%     970.000us       4.663us           208  
                                          aten::q_scale         0.01%     656.000us         0.01%     656.000us       0.265us          2480  
                                     aten::q_zero_point         0.01%     652.000us         0.01%     652.000us       0.263us          2480  
                                          aten::qscheme         0.01%     646.000us         0.01%     646.000us       0.475us          1360  
                                         aten::randperm         0.00%     270.000us         0.01%     542.000us     271.000us             2  
                                   aten::_reshape_alias         0.00%     241.000us         0.00%     241.000us      15.062us            16  
                                           aten::select         0.00%     211.000us         0.00%     216.000us      13.500us            16  
                                             aten::set_         0.00%     155.000us         0.00%     155.000us       4.559us            34  
                                          aten::detach_         0.00%     103.000us         0.00%     140.000us       4.118us            34  
                                     aten::resolve_conj         0.00%      39.000us         0.00%      39.000us       0.025us          1537  
                                                detach_         0.00%      39.000us         0.00%      39.000us       1.147us            34  
                                           aten::detach         0.00%       9.000us         0.00%      28.000us      28.000us             1  
                                                 detach         0.00%      19.000us         0.00%      19.000us      19.000us             1  
                                    aten::scalar_tensor         0.00%      18.000us         0.00%      18.000us      18.000us             1  
                                          aten::random_         0.00%      14.000us         0.00%      14.000us      14.000us             1  
                                               aten::to         0.00%       6.000us         0.00%       6.000us       0.171us            35  
                                       aten::lift_fresh         0.00%       1.000us         0.00%       1.000us       0.029us            34  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.077s
medium_x86_4_109
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         2.48%     207.151ms        99.60%        8.327s     489.851ms            17  
                     aten::_native_multi_head_attention         0.37%      30.679ms        47.44%        3.966s      20.657ms           192  
                                      quantized::linear        40.68%        3.401s        40.79%        3.410s       8.526ms           400  
                                               aten::mm        26.77%        2.239s        26.77%        2.239s      11.659ms           192  
                                            aten::addmm         8.97%     750.176ms         9.39%     785.486ms       4.091ms           192  
                                              aten::bmm         5.26%     440.075ms         5.26%     440.097ms       1.146ms           384  
                                             aten::gelu         3.04%     254.003ms         3.04%     254.003ms       1.323ms           192  
                                         aten::_softmax         2.58%     215.751ms         2.58%     215.751ms       1.124ms           192  
                      aten::_transform_bias_rescale_qkv         2.43%     203.044ms         2.54%     212.679ms       1.108ms           192  
                                       aten::dequantize         1.50%     125.068ms         1.57%     131.180ms     199.970us           656  
                                  quantized::layer_norm         1.43%     119.316ms         1.46%     122.138ms     305.345us           400  
                              aten::quantize_per_tensor         1.20%      99.955ms         1.23%     102.851ms     221.662us           464  
                                         quantized::add         0.83%      69.007ms         0.90%      75.377ms     188.442us           400  
                                            aten::copy_         0.70%      58.910ms         0.70%      58.910ms     153.411us           384  
                                      quantized::conv2d         0.54%      44.768ms         0.58%      48.733ms       3.046ms            16  
                                       aten::contiguous         0.01%     556.000us         0.41%      33.947ms     163.207us           208  
                                            aten::clone         0.06%       5.233ms         0.40%      33.345ms     160.312us           208  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         0.39%      32.704ms         0.40%      33.074ms       1.946ms            17  
                                            aten::empty         0.17%      14.578ms         0.17%      14.578ms       9.771us          1492  
                                              aten::cat         0.04%       3.112ms         0.15%      12.909ms     403.406us            32  
                          aten::_empty_affine_quantized         0.11%       9.608ms         0.11%       9.608ms       7.799us          1232  
                                             aten::item         0.08%       6.408ms         0.10%       7.963ms       3.189us          2497  
                                           aten::narrow         0.03%       2.918ms         0.07%       5.561ms       9.655us           576  
                                                aten::t         0.02%       1.323ms         0.05%       4.224ms      11.000us           384  
                                        aten::transpose         0.04%       3.043ms         0.05%       4.209ms       7.307us           576  
                                          aten::resize_         0.05%       4.071ms         0.05%       4.071ms      10.127us           402  
                                             aten::view         0.04%       3.602ms         0.04%       3.602ms       1.563us          2304  
                                       aten::empty_like         0.01%       1.232ms         0.04%       3.551ms      18.495us           192  
                                            aten::slice         0.03%       2.482ms         0.04%       2.960ms       5.000us           592  
                                       aten::as_strided         0.03%       2.337ms         0.03%       2.337ms       1.461us          1600  
                                          aten::reshape         0.02%       1.428ms         0.03%       2.123ms       5.308us           400  
                                          aten::permute         0.02%       1.473ms         0.02%       2.008ms       9.654us           208  
                              aten::_local_scalar_dense         0.02%       1.641ms         0.02%       1.641ms       0.657us          2497  
                                     aten::_unsafe_view         0.01%       1.179ms         0.01%       1.179ms       6.141us           192  
                                           aten::expand         0.01%       1.037ms         0.01%       1.158ms       5.567us           208  
                                     aten::q_zero_point         0.01%     680.000us         0.01%     680.000us       0.274us          2480  
                                          aten::q_scale         0.01%     673.000us         0.01%     673.000us       0.271us          2480  
                                          aten::qscheme         0.01%     616.000us         0.01%     616.000us       0.453us          1360  
                                         aten::randperm         0.00%     189.000us         0.00%     371.000us     185.500us             2  
                                   aten::_reshape_alias         0.00%     193.000us         0.00%     193.000us      12.062us            16  
                                           aten::select         0.00%     185.000us         0.00%     187.000us      11.688us            16  
                                             aten::set_         0.00%     146.000us         0.00%     146.000us       4.294us            34  
                                          aten::detach_         0.00%      97.000us         0.00%     126.000us       3.706us            34  
                                     aten::resolve_conj         0.00%      38.000us         0.00%      38.000us       0.025us          1537  
                                                detach_         0.00%      30.000us         0.00%      30.000us       0.882us            34  
                                           aten::detach         0.00%       7.000us         0.00%      22.000us      22.000us             1  
                                          aten::random_         0.00%      15.000us         0.00%      15.000us      15.000us             1  
                                                 detach         0.00%      15.000us         0.00%      15.000us      15.000us             1  
                                    aten::scalar_tensor         0.00%      11.000us         0.00%      11.000us      11.000us             1  
                                               aten::to         0.00%       4.000us         0.00%       4.000us       0.114us            35  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                       aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us            34  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.361s
medium_fbgemm_1_109
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         2.60%     220.754ms        99.63%        8.451s     497.108ms            17  
                     aten::_native_multi_head_attention         0.39%      32.832ms        47.99%        4.071s      21.204ms           192  
                                      quantized::linear        40.95%        3.473s        41.06%        3.483s       8.707ms           400  
